entity_no,Subsidiary,Posting_Period,Posting_date,Account,Debit,Credit,Reversal_date,Memo,Line_Memo,Vendor_Name,Department,Risk_Location,Profit_Center,product,Affiliate,Accounting_Book,Is_Book_Specific,Source,DAC
1Q19 3912 March 2019 Direct UEPR,3912,Mar 2019,3/31/2019,20540001,0,18392.59,4/30/2019,1Q19 3912 March 2019 Direct UEPR,1Q19 3912 March 2019 Direct UEPR,,,AZ,301,1009,,,,CLVR,Direct
1Q19 3912 March 2019 Direct UEPR,3912,Mar 2019,3/31/2019,20540001,0,310076.81,4/30/2019,1Q19 3912 March 2019 Direct UEPR,1Q19 3912 March 2019 Direct UEPR,,,CA,301,1009,,,,CLVR,Direct
1Q19 3912 March 2019 Direct UEPR,3912,Mar 2019,3/31/2019,20540001,0,2834.16,4/30/2019,1Q19 3912 March 2019 Direct UEPR,1Q19 3912 March 2019 Direct UEPR,,,DE,301,1009,,,,CLVR,Direct
1Q19 3912 March 2019 Direct UEPR,3912,Mar 2019,3/31/2019,20540001,0,3494.9,4/30/2019,1Q19 3912 March 2019 Direct UEPR,1Q19 3912 March 2019 Direct UEPR,,,KS,301,1009,,,,CLVR,Direct
1Q19 3912 March 2019 Direct UEPR,3912,Mar 2019,3/31/2019,20540001,0,11994.09,4/30/2019,1Q19 3912 March 2019 Direct UEPR,1Q19 3912 March 2019 Direct UEPR,,,MD,301,1009,,,,CLVR,Direct
1Q19 3912 March 2019 Direct UEPR,3912,Mar 2019,3/31/2019,20540001,0,30265.01,4/30/2019,1Q19 3912 March 2019 Direct UEPR,1Q19 3912 March 2019 Direct UEPR,,,MI,301,1009,,,,CLVR,Direct
1Q19 3912 March 2019 Direct UEPR,3912,Mar 2019,3/31/2019,20540001,0,14900.71,4/30/2019,1Q19 3912 March 2019 Direct UEPR,1Q19 3912 March 2019 Direct UEPR,,,NV,301,1009,,,,CLVR,Direct
1Q19 3912 March 2019 Direct UEPR,3912,Mar 2019,3/31/2019,20540001,0,642728.94,4/30/2019,1Q19 3912 March 2019 Direct UEPR,1Q19 3912 March 2019 Direct UEPR,,,SC,301,1009,,,,CLVR,Direct
1Q19 3912 March 2019 Direct UEPR,3912,Mar 2019,3/31/2019,20540001,0,95385.86,4/30/2019,1Q19 3912 March 2019 Direct UEPR,1Q19 3912 March 2019 Direct UEPR,,,NC,301,1009,,,,CLVR,Direct
1Q19 3912 March 2019 Direct UEPR,3912,Mar 2019,3/31/2019,20540001,0,3668.1,4/30/2019,1Q19 3912 March 2019 Direct UEPR,1Q19 3912 March 2019 Direct UEPR,,,NH,301,1009,,,,CLVR,Direct
